DMDrevA0,hw.diamond_mesa,dmd-a0,A0,MS0.0,MS0.3,MS0.5,MS0.8,MS1.0
FM3revA0,hw.falcon_mesa,fm3-a0,A0,MS0.0,MS0.3,MS0.5,MS0.8,MS1.0
FM5revA0,hw.falcon_mesa,fm5.-a0,A0,MS0.0,MS0.3,MS0.5,MS0.8,MS1.0
FM6revA0,hw.falcon_mesa,fm6.-a0,A0,1.0 (FS 1.0),2.0 (All Design Features Coded and FS Finalized),3.0 (80% Feature Tested),4.0 (100% Feature Tested),5.0 (ECO and  PreTapein)
FM6revA1,hw.falcon_mesa,fm6.-a1,A1,1.0 (FS 1.0),2.0 (All Design Features Coded and FS Finalized),3.0 (80% Feature Tested),4.0 (100% Feature Tested),5.0 (ECO and  PreTapein)
FM6revB0,hw.falcon_mesa,fm6.-b0,B0,1.0 (FS 1.0),2.0 (All Design Features Coded and FS Finalized),3.0 (80% Feature Tested),4.0 (100% Feature Tested),5.0 (ECO and  PreTapein)
FM7revA0,hw.falcon_mesa,fm7-a0,A0,MS0.0,MS0.3,MS0.5,MS0.8,MS1.0
FM8revA0,hw.falcon_mesa,fm8.-a0,A0,1.0 (FS 1.0),2.0 (All Design Features Coded and FS Finalized),3.0 (80% Feature Tested),4.0 (100% Feature Tested),5.0 (ECO and  PreTapein)
FP4revA0,hw.falcon_park,fp4-a0,A0,MS0.0,MS0.3,MS0.5,MS0.8,MS1.0
FP6revA0,hw.falcon_park,fp6-a0,A0,MS0.0,MS0.3,MS0.5,MS0.8,MS1.0
FP8revA0,hw.falcon_park,fp8-a0,A0,MS0.0,MS0.3,MS0.5,MS0.8,MS1.0
GDRrevA0,hw.xcvr tile,gdr.-a0,A0,MS0.0,MS0.3,MS0.5,MS0.8,MS1.0
GDRrevB0,hw.xcvr tile,gdr.-b0,B0,MS0.0,MS0.3,MS0.5,MS0.8,MS1.0
KM5revA0,hw.kinneloa_mesa,km5-a0,A0,MS0.0,MS0.3,MS0.5,MS0.8,MS1.0
RNRrevA0,hw.xcvr tile,rnr.-a0,A0,MS0.0,MS0.3,MS0.5,MS0.8,MS1.0
RNRrevB0,hw.xcvr tile,rnr.-b0,B0,MS0.0,MS0.3,MS0.5,MS0.8,MS1.0
